laureate_id,laureate_name,prize_year,title,journal,affiliation,is_prize_winning,doi,error_message
20017,"negishi, e",2010,strictly pair selective and economical synthesis of conjugated diynes via pd catalyzed reaction of terminal alkynes with 1 1 dichloroethylene elimination with lda and subsequent transformations,organic process research & development,,NO,10.1021/op034029,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/op034029
20020,"steitz, t",2009,the complete atomic structure of the large ribosomal subunit at 2,science,yale university,YES,,"can only concatenate str (not ""float"") to str"
20025,"ertl, g",2007,adsorption and interaction of ethylene on ruo2 110 surfaces,journal of physical chemistry b,max planck society,NO,10.1021/jp049080,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/jp049080
20028,"grubbs, r",2005,properties of vapor detector arrays formed through plasticization of carbon black organic polymer composites,analytical chemistry,california institute of technology,NO,10.1021/ac011054,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ac011054
20029,"schrock, r",2005,investigations of reactions between chiral molybdenum imido alkylidene complexes and ethylene observation of unsolvated base free methylene complexes metalacyclobutane and metalacyclopentane complexes and molybdenum iv olefin complexes,organometallics,massachusetts institute of technology,NO,10.1021/om030636,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/om030636
20029,"schrock, r",2005,molybdenum imido alkylidene metathesis catalysts that contain electron withdrawing biphenolates or binaphtholates,organometallics,massachusetts institute of technology,NO,10.1021/om061134,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/om061134
20033,"agre, p",2003,appearance of water channels in xenopus oocytes expressing red cell chip28 water channel,science,johns hopkins university,YES,,"can only concatenate str (not ""float"") to str"
20035,"wuthrich, k",2002,sequence specific resonance assignment of soluble nonglobular proteins by 7d apsy nmr spectroscopy,journal of the american chemical society,scripps research institute,NO,10.1021/ja072564,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ja072564
20038,"noyori, r",2001,trans ruh 1 bh4 binap 1 2 diamine a catalyst for asymmetric hydrogenation of simple ketones under base free conditions,journal of the american chemical society,nagoya university,NO,10.1021/ja026136,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ja026136
20038,"noyori, r",2001,asymmetric hydrogenation of tert alkyl ketones,journal of the american chemical society,nagoya university,NO,10.1021/ja052071,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ja052071
20038,"noyori, r",2001,asymmetrische aktivierung desaktivierung von racemischen ruthenium katalysatoren fur die enantioselektive hydrierung von ketonen,angewandte chemie,nagoya university,NO,10.1002/1521-3757(20001016)112:20<3854::AID-ANGE3854>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/1521-3757(20001016)112:20%3C3854::AID-ANGE3854%3E3.0.CO;2
20040,"sharpless, k",2001,rapid discovery and structure activity profiling of novel inhibitors of human immunodeficiency virus type 1 protease enabled by the copper i catalyzed synthesis of 1 2 3 triazoles and their further functionalization,journal of medicinal chemistry,scripps research institute,NO,10.1021/jm060754,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/jm060754
20040,"sharpless, k",2001,applications of aziridinium ions selective syntheses of alpha beta diamino esters alpha sulfanyl beta amino esters beta lactams and 1 5 benzodiazepin 2 one,organic letters,,NO,10.1021/ol000221,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ol000221
20041,"heeger, a",2000,infrared imaging of the nanometer thick accumulation layer in organic field effect transistors,nano letters,university of california santa barbara,NO,10.1021/nl052166,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/nl052166
20041,"heeger, a",2000,dna hybridization detection with water soluble conjugated polymers and chromophore labeled single stranded dna,journal of the american chemical society,university of california santa barbara,NO,10.1021/ja027152,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ja027152
20044,"zewail, a",1999,femtochemistry of norrish type i reactions iv highly excited ketones experimental,chemphyschem,california institute of technology,NO,10.1002/1439-7641(20020118)3:1<79::AID-CPHC79>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/1439-7641(20020118)3:1%3C79::AID-CPHC79%3E3.0.CO;2
20044,"zewail, a",1999,ultrafast electron crystallography 1 nonequilibrium dynamics of nanometer scale structures,journal of physical chemistry c,california institute of technology,NO,10.1021/jp067466,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/jp067466
20045,"pople, j",1998,impact of core architecture on solution properties of dendrimer like star copolymers,macromolecules,university of leeds,NO,10.1021/ma021450,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ma021450
20050,"kroto, h",1996,c 60 buckminsterfullerene,nature,florida state university,YES,,"can only concatenate str (not ""float"") to str"
20051,"smalley, r",1996,c 60 buckminsterfullerene,nature,rice university,YES,,"can only concatenate str (not ""float"") to str"
20051,"smalley, r",1996,nanoscopically flat open ended single walled carbon nanotube substrates for continued growth,nano letters,rice university,NO,10.1021/nl061531,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/nl061531
20051,"smalley, r",1996,a highly selective one pot purification method for single walled carbon nanotubes,journal of physical chemistry b,rice university,NO,10.1021/jp068229,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/jp068229
20051,"smalley, r",1996,cutting single wall carbon nanotubes through fluorination,nano letters,rice university,NO,10.1021/nl025675,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/nl025675
20051,"smalley, r",1996,vertical array growth of small diameter single walled carbon nanotubes,journal of the american chemical society,rice university,NO,10.1021/ja060944,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ja060944
20052,"curl, r",1996,c 60 buckminsterfullerene,nature,rice university,YES,,"can only concatenate str (not ""float"") to str"
20054,"crutzen, p",1995,inorganic bromine in the marine boundary layer a critical review,atmospheric chemistry and physics,max planck society,NO,10.5194/acp-3-1301-2003,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.5194/acp-3-1301-2003
20056,"olah, g",1994,tris trimethylsilyl sulfonium and methylbis trimethylsilyl sulfonium ions preparation nmr spectroscopy and theoretical studies 1,journal of organic chemistry,university of southern california,NO,10.1021/jo001248,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/jo001248
20056,"olah, g",1994,ab initio giao ccsd t study of bicyclic and related strained olefins structures and 13c nmr chemical shifts,journal of physical chemistry a,university of southern california,NO,10.1021/jp058273,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/jp058273
20060,"ernst, r",1991,spin diffusion in resolved solid state nmr spectra,physical review b,eth zurich,NO,10.17877/DE290R-3211,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.17877/DE290R-3211
20060,"ernst, r",1991,spectral spin diffusion in the presence of an extraneous dipolar reservoir,physical review b,eth zurich,NO,10.17877/DE290R-2992,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.17877/DE290R-2992
20061,"corey, e",1990,theory guided discovery of unique chemical transformations of cyclopropenes,organic letters,harvard university,NO,10.1021/ol052752,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ol052752
20061,"corey, e",1990,a rhodium ii catalytic approach to the synthesis of ethers of a minor component in a tautomeric set,organic letters,harvard university,NO,10.1021/ol005964,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ol005964
20061,"corey, e",1990,titelbild angew chem 10 2002,angewandte chemie,harvard university,NO,10.1002/1521-3757(20020517)114:10<1703::AID-ANGE1703>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/1521-3757(20020517)114:10%3C1703::AID-ANGE1703%3E3.0.CO;2
20061,"corey, e",1990,short enantioselective total synthesis of okaramine n,journal of the american chemical society,harvard university,NO,10.1021/ja034491,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ja034491
20061,"corey, e",1990,enzyme mechanisms for polycyclic triterpene formation,angewandte chemie,harvard university,NO,10.1002/1521-3773(20000818)39:16<2812::AID-ANIE2812>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/1521-3773(20000818)39:16%3C2812::AID-ANIE2812%3E3.0.CO;2
20061,"corey, e",1990,enantioselective total synthesis of isoedunol and  araneosene featuring unconventional strategy and methodology,journal of the american chemical society,harvard university,NO,10.1021/ja055137,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ja055137
20061,"corey, e",1990,eine effiziente und kurze enantioselektive totalsynthese von lactacystin,angewandte chemie,harvard university,NO,10.1002/(SICI)1521-3757(19980619)110:12<1784::AID-ANGE1784>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/(SICI)1521-3757(19980619)110:12%3C1784::AID-ANGE1784%3E3.0.CO;2
20062,"cech, t",1989,biological catalysis by rna,annual review of biochemistry,howard hughes medical institute,NO,10.1146/annurev.bi.55.070186.003123,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1146/annurev.bi.55.070186.003123
20065,"huber, r",1988,the annexin a3 membrane interaction is modulated by an n terminal tryptophan,biochemistry,max planck society,NO,10.1021/bi992359,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/bi992359
20065,"huber, r",1988,fluoroprolines as tools for protein design and engineering,angewandte chemie,max planck society,NO,10.1002/1521-3773(20010302)40:5<923::AID-ANIE923>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/1521-3773(20010302)40:5%3C923::AID-ANIE923%3E3.0.CO;2
20065,"huber, r",1988,prediction of alternative structures of the molybdenum site in the xanthine oxidase related aldehyde oxido reductase,journal of the american chemical society,max planck society,NO,10.1021/ja963901,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ja963901
20066,"michel, h",1988,electrochemical and ultraviolet visible infrared spectroscopic analysis of heme a and a3 redox reactions in the cytochrome c oxidase from paracoccus denitrificans separation of heme a and a3 contributions and assignment of vibrational modes,biochemistry,institute of biophysics,NO,10.1021/bi982282,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/bi982282
20066,"michel, h",1988,qh ubisemiquinone radical in the bo3 type ubiquinol oxidase studied by pulsed electron paramagnetic resonance and hyperfine sublevel correlation spectroscopy,biochemistry,institute of biophysics,NO,10.1021/bi001641,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/bi001641
20068,"lehn, j",1987,reversible switching between macrocyclic and polymeric states by morphological control in a constitutional dynamic system,angewandte chemie,,NO,10.1002/anie.200704946,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/anie.200704946
20068,"lehn, j",1987,sodium salts of the bipyridine dianion polymer bpy 2 na dme 2 cluster na8o 6 na 6 bpy 62 tmeda 6 and monomer bpy 2 na pmdta 2,angewandte chemie,,NO,10.1002/(SICI)1521-3773(19990401)38:7<952::AID-ANIE952>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/(SICI)1521-3773(19990401)38:7%3C952::AID-ANIE952%3E3.0.CO;2
20068,"lehn, j",1987,helical self organization and hierarchical self assembly of an oligoheterocyclic pyridine pyridazine strand into extended supramolecular fibers,chemistry a european journal,,NO,10.1002/1521-3765(20020802)8:15<3448::AID-CHEM3448>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/1521-3765(20020802)8:15%3C3448::AID-CHEM3448%3E3.0.CO;2
20068,"lehn, j",1987,photochemical pka modulation and gated photochromic properties of a novel diarylethene switch,european journal of organic chemistry,,NO,10.1002/(SICI)1099-0690(199909)1999:9<2359::AID-EJOC2359>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/(SICI)1099-0690(199909)1999:9%3C2359::AID-EJOC2359%3E3.0.CO;2
20068,"lehn, j",1987,selective adhesion lipid exchange and membrane fusion processes between vesicles of various sizes bearing complementary molecular recognition groups,chemphyschem,,NO,10.1002/1439-7641(20010618)2:6<367::AID-CPHC367>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/1439-7641(20010618)2:6%3C367::AID-CPHC367%3E3.0.CO;2
20077,"klug, a",1982,crystallization of trnas as cetyltrimethylammonium salts,nature,laboratory of molecular biology,NO,10.1038/10.1038/newbio237027a0,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1038/10.1038/newbio237027a0
20077,"klug, a",1982,polymerization of tobacco mosaic virus protein and its control,nature,,NO,10.1038/10.1038/newbio229042a0,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1038/10.1038/newbio229042a0
20078,"fukui, k",1981,origin of current enhancement through a ferrocenylundecanethiol island embedded in alkanethiol sams by using electrochemical potential control,journal of physical chemistry c,tokyo institute of technology,NO,10.1021/jp072249,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/jp072249
20079,"hoffmann, r",1981,compounds containing copper sulfur layers electronic structure conductivity and stability,inorganic chemistry,cornell university,NO,10.1021/ic951046,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ic951046
20079,"hoffmann, r",1981,is co a special ligand in organometallic chemistry theoretical investigation of ab fe co 4ab and fe ab 5 ab n2 co bf sio,inorganic chemistry,cornell university,NO,10.1021/ic970897,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/ic970897
20079,"hoffmann, r",1981,silicon boron nitrides hypothetical polymorphs of si3b3n7,angewandte chemie,cornell university,NO,10.1002/(SICI)1521-3773(19981002)37:18<2527::AID-ANIE2527>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/(SICI)1521-3773(19981002)37:18%3C2527::AID-ANIE2527%3E3.0.CO;2
20084,"brown, h",1979,directive effects in aromatic substitution .30. electrophilic substituent constants,,,YES,,"can only concatenate str (not ""float"") to str"
20087,"lipscomb, w",1976,synthesis and crystal structure of the first polymeric cesium compound of a carborane ligand system,organometallics,harvard university,NO,10.1021/om970938,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1021/om970938
20089,cornfort.jw,1975,studies on the biosynthesis of cholesterol xvi chemical synthesis of 1 h2 3 2 c 14 and 1 d2 2 c 14 trans trans farnesyl pyrophosphate and their utilization in squalene biosynthesis,journal of biological chemistry,,YES,,"can only concatenate str (not ""float"") to str"
20096,"herzberg, g.",1971,the spectra and structures of free methyl and free methylene,,,NO,,"can only concatenate str (not ""float"") to str"
20097,"leloir, l",1970,a modified colorimetric method for the estimation of n acetylamino sugars,journal of biological chemistry,facultad de ciencias medicas,YES,,"can only concatenate str (not ""float"") to str"
20100,"onsager, l",1968,bose einstein condensation and liquid helium,physical review,yale university,NO,10.1103/PhysRev.104.576,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1103/PhysRev.104.576
20103,"eigen, m",1967,techniques for single molecule sequencing,bioimaging,max planck society,NO,10.1002/1361-6374(199709)5:3<139::AID-BIO8>3.0.CO;2,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1002/1361-6374(199709)5:3%3C139::AID-BIO8%3E3.0.CO;2
20106,"hodgkin, d",1964,structure of insulin in 4 zinc insulin,nature,university of oxford,NO,10.2210/pdb1zni/pdb,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.2210/pdb1zni/pdb
20110,"perutz, m",1962,the crystal structure of human deoxyhaemoglobin at 1 74 a resolution,journal of molecular biology,laboratory of molecular biology,NO,10.2210/pdb4hhb/pdb,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.2210/pdb4hhb/pdb
20110,"perutz, m",1962,structure and subunit interaction of haemoglobin m milwaukee,nature,laboratory of molecular biology,NO,10.1038/10.1038/newbio237259a0,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1038/10.1038/newbio237259a0
20110,"perutz, m",1962,site of the amino acid substitution in haemoglobin seattle 2 a 2 70 asp,nature,medical research council,NO,10.1038/10.1038/newbio243274a0,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1038/10.1038/newbio243274a0
20110,"perutz, m",1962,stereochemical interpretation of high oxygen affinity of haemoglobin little rock 22 143his gln,nature,,NO,10.1038/10.1038/newbio243180a0,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1038/10.1038/newbio243180a0
20111,"calvin, m",1961,the path of carbon in photosynthesis xx the steady state escholarship,,,NO,,"can only concatenate str (not ""float"") to str"
20111,"calvin, m",1961,the path of carbon in photosynthesis iv ribulose and sedoheptulose,,,NO,,"can only concatenate str (not ""float"") to str"
20117,n. n. semenov,1956,Chemical kinetics and chain reactions,,,YES,,"can only concatenate str (not ""float"") to str"
20130,"stanley, w",1946,chemical studies on the virus of tobacco mosaic vi the isolation from diseased turkish tobacco plants of a crystalline protein possessing the properties of tobacco mosaic virus,phytopathology,,YES,,"can only concatenate str (not ""float"") to str"
20132,"sumner, j",1946,the isolation and crystallization of the enzyme urease preliminary paper,journal of biological chemistry,cornell university,YES,,"can only concatenate str (not ""float"") to str"
20133,"virtanen, a",1945,the enzymatic fission and synthesis of asparaginic acid.,,,YES,,"can only concatenate str (not ""float"") to str"
20138,"kuhn, r",1938,reduction oxidation behaviour and a colour reaction of lactoflavine vitamin b2,,,NO,,"can only concatenate str (not ""float"") to str"
20138,"kuhn, r",1938,lactoflavine vitamin b2,,,NO,,"can only concatenate str (not ""float"") to str"
20139,"haworth, w",1937,synthesis of d and i ascorbic acid and of analogous substances,journal of the chemical society,,NO,,"can only concatenate str (not ""float"") to str"
20144,"urey, h",1934,carbon compounds in pyrolysates and amino acids in extracts of apollo 14 lunar samples,nature,university of california san diego,NO,10.1038/10.1038/physci242050a0,404 Client Error: NOT FOUND for url: https://api.openalex.org/works/doi:https://doi.org/10.1038/10.1038/physci242050a0
20146,carl bosch,1931,formation of anthracite,,,YES,,"can only concatenate str (not ""float"") to str"
20146,carl bosch,1931,die anwendung hoher drucke bei chemischen vorgangen und eine nachbildung des entstehungsprozesses der steinkohle,,,NO,,"can only concatenate str (not ""float"") to str"
20147,carl bosch,1931,ABSORBING AMMONIA AND APPARATUS THEREFOR,,,YES,,"can only concatenate str (not ""float"") to str"
20155,fritz pregl,1923,method of determination of carbon and hydrogen in organic compounds,,,YES,,"can only concatenate str (not ""float"") to str"
20155,fritz pregl,1923,ein apparat zur extraction w sseriger fl ssigkeiten mit chloroform,analytical and bioanalytical chemistry,,NO,,"can only concatenate str (not ""float"") to str"
20155,fritz pregl,1923,das nherungsverfahren bei der bereitung von normallsungen,analytical and bioanalytical chemistry,,NO,,"can only concatenate str (not ""float"") to str"
20156,"aston, f",1922,the possibility of separating isotopes.,,,YES,,"can only concatenate str (not ""float"") to str"
20161,"richards, t",1914,revision des atomgewichtes von c sium,zeitschrift fur anorganische und allgemeine chemie,harvard university,NO,,"can only concatenate str (not ""float"") to str"
20162,victor grignard,1912,regarding some new organometallic combinations of magnesium and their application to alcohol synthesis and hydrocarbides.,,,YES,,"can only concatenate str (not ""float"") to str"
